Simbol,Categorie
OIL,Energie si Utilitati
DIGI,Sector Financiar si Investitii
ONE,"Industrie, Constructii si Materiale"
TLV,Sector Financiar si Investitii
M,"Servicii, Tehnologie si Bunuri de Consum"
FP,Sector Financiar si Investitii
SNG,Energie si Utilitati
TTS,"Servicii, Tehnologie si Bunuri de Consum"
CMP,"Industrie, Constructii si Materiale"
TGN,Energie si Utilitati
EL,Energie si Utilitati
BCM,"Servicii, Tehnologie si Bunuri de Consum"
PE,Energie si Utilitati
BRD,Sector Financiar si Investitii
H2O,Energie si Utilitati
SNP,Energie si Utilitati
ROC1,"Industrie, Constructii si Materiale"
TEL,Energie si Utilitati
IMP,"Industrie, Constructii si Materiale"
SNN,Energie si Utilitati
TBM,"Industrie, Constructii si Materiale"
AROBS,"Servicii, Tehnologie si Bunuri de Consum"
TRP,"Industrie, Constructii si Materiale"
BVB,Sector Financiar si Investitii
ATB,"Servicii, Tehnologie si Bunuri de Consum"
AQ,"Servicii, Tehnologie si Bunuri de Consum"
SFG,"Servicii, Tehnologie si Bunuri de Consum"
SAFE,"Servicii, Tehnologie si Bunuri de Consum"
ALU,"Industrie, Constructii si Materiale"
ALR,"Industrie, Constructii si Materiale"
SOCP,"Industrie, Constructii si Materiale"
ROCE,"Industrie, Constructii si Materiale"
TRANSI,Sector Financiar si Investitii
LONG,Sector Financiar si Investitii
LION,Sector Financiar si Investitii
INFINITY,Sector Financiar si Investitii
EVER,Sector Financiar si Investitii
WINE,"Servicii, Tehnologie si Bunuri de Consum"
BRK,Sector Financiar si Investitii
SMTL,"Servicii, Tehnologie si Bunuri de Consum"
PBK,Sector Financiar si Investitii
AAG,"Industrie, Constructii si Materiale"
ARM,"Industrie, Constructii si Materiale"
COTE,Energie si Utilitati
PPL,"Industrie, Constructii si Materiale"
ELMA,"Industrie, Constructii si Materiale"
COMI,"Industrie, Constructii si Materiale"
STZ,"Industrie, Constructii si Materiale"
RRC,Energie si Utilitati
BNET,"Servicii, Tehnologie si Bunuri de Consum"
EBS,Sector Financiar si Investitii
MCAB,"Industrie, Constructii si Materiale"
CRC,"Industrie, Constructii si Materiale"
BIO,"Servicii, Tehnologie si Bunuri de Consum"
TBK,Sector Financiar si Investitii
ALT,"Industrie, Constructii si Materiale"
ARS,"Industrie, Constructii si Materiale"
CBC,"Industrie, Constructii si Materiale"
ELJ,"Industrie, Constructii si Materiale"
VNC,"Industrie, Constructii si Materiale"
IARV,"Industrie, Constructii si Materiale"
ELGS,"Industrie, Constructii si Materiale"
BRM,"Servicii, Tehnologie si Bunuri de Consum"
PREB,"Industrie, Constructii si Materiale"
RMAH,"Servicii, Tehnologie si Bunuri de Consum"
PTR,"Industrie, Constructii si Materiale"
EFO,"Servicii, Tehnologie si Bunuri de Consum"
ARTE,"Industrie, Constructii si Materiale"
CMF,"Industrie, Constructii si Materiale"
CAOR,"Servicii, Tehnologie si Bunuri de Consum"
PREH,"Industrie, Constructii si Materiale"
MECE,"Industrie, Constructii si Materiale"
CMCM,"Industrie, Constructii si Materiale"
TUFE,"Servicii, Tehnologie si Bunuri de Consum"
UAM,"Industrie, Constructii si Materiale"
SNO,"Industrie, Constructii si Materiale"
GREEN,"Industrie, Constructii si Materiale"
RPH,"Servicii, Tehnologie si Bunuri de Consum"
ECT,"Servicii, Tehnologie si Bunuri de Consum"
NAPO,"Industrie, Constructii si Materiale"
CNTE,"Industrie, Constructii si Materiale"
MECF,"Industrie, Constructii si Materiale"
ENP,Energie si Utilitati
VESY,"Industrie, Constructii si Materiale"
UZT,"Industrie, Constructii si Materiale"
