Simbol,Societate,Pret,Categorie,Predictie_ziua_urmatoare,Probabilitate_Creste
SNN,S.N. NUCLEARELECTRICA S.A.,46.6,Energie si Utilitati,Scade/Stagnează,40.9%
SNP,OMV PETROM S.A.,0.856,Energie si Utilitati,Scade/Stagnează,36.3%
PE,Premier Energy PLC,20.7,Energie si Utilitati,Crește,54.4%
SNG,S.N.G.N. ROMGAZ S.A.,7.9,Energie si Utilitati,Scade/Stagnează,48.0%
H2O,SOCIETATEA DE PRODUCERE A ENERGIEI ELECTRICE IN HIDROCENTRALE HIDROELECTRICA S.A.,123.5,Energie si Utilitati,Scade/Stagnează,9.2%
TEL,C.N.T.E.E. TRANSELECTRICA,56.6,Energie si Utilitati,Scade/Stagnează,44.0%
RRC,ROMPETROL RAFINARE S.A.,0.069,Energie si Utilitati,Scade/Stagnează,32.8%
TGN,S.N.T.G.N. TRANSGAZ S.A.,48.5,Energie si Utilitati,Scade/Stagnează,34.1%
EL,SOCIETATEA ENERGETICA ELECTRICA S.A.,19.16,Energie si Utilitati,Crește,52.8%
COTE,CONPET SA,78.8,Energie si Utilitati,Scade/Stagnează,0.8%
OIL,OIL TERMINAL S.A.,0.116,Energie si Utilitati,Crește,59.9%
ENP,COMPANIA ENERGOPETROL S.A.,0.83,Energie si Utilitati,Scade/Stagnează,10.6%
