Simbol,Societate,Pret,Categorie,Predictie_ziua_urmatoare,Probabilitate_Creste
TRP,TERAPLAST SA,0.539,"Industrie, Constructii si Materiale",Crește,66.7%
ARS,AEROSTAR S.A.,9.46,"Industrie, Constructii si Materiale",Scade/Stagnează,24.5%
CRC,CHIMCOMPLEX BORZESTI SA ONESTI,9.32,"Industrie, Constructii si Materiale",Crește,62.5%
IMP,IMPACT DEVELOPER & CONTRACTOR S.A.,4.55,"Industrie, Constructii si Materiale",Crește,53.0%
TBM,TURBOMECANICA S.A.,0.46,"Industrie, Constructii si Materiale",Scade/Stagnează,27.1%
CBC,CARBOCHIM S.A.,29.0,"Industrie, Constructii si Materiale",Crește,54.2%
STZ,SINTEZA S.A.,0.78,"Industrie, Constructii si Materiale",Scade/Stagnează,6.8%
ALU,ALUMIL ROM INDUSTRY S.A.,2.48,"Industrie, Constructii si Materiale",Scade/Stagnează,14.9%
AAG,S.C AAGES S.A.,5.02,"Industrie, Constructii si Materiale",Scade/Stagnează,10.5%
ONE,ONE UNITED PROPERTIES,28.85,"Industrie, Constructii si Materiale",Scade/Stagnează,15.9%
MECE,MECANICA FINA SA,19.5,"Industrie, Constructii si Materiale",Scade/Stagnează,27.5%
ALT,ALTUR S.A.,0.068,"Industrie, Constructii si Materiale",Scade/Stagnează,14.8%
SOCP,SOCEP S.A.,1.64,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
SNO,SANTIERUL NAVAL ORSOVA S.A.,8.8,"Industrie, Constructii si Materiale",Scade/Stagnează,45.4%
ROC1,ROCA INDUSTRY HOLDINGROCK1 S.A.,0.71,"Industrie, Constructii si Materiale",Scade/Stagnează,35.7%
ALR,ALRO S.A.,1.6,"Industrie, Constructii si Materiale",Crește,55.9%
IARV,IAR SA Brasov,14.65,"Industrie, Constructii si Materiale",Scade/Stagnează,10.7%
VNC,VRANCART SA,0.1075,"Industrie, Constructii si Materiale",Crește,58.7%
PTR,ROMPETROL WELL SERVICES S.A.,0.592,"Industrie, Constructii si Materiale",Scade/Stagnează,39.5%
ROCE,ROMCARBON SA,0.1375,"Industrie, Constructii si Materiale",Crește,59.5%
ELMA,ELECTROMAGNETICA SA,0.206,"Industrie, Constructii si Materiale",Crește,79.9%
PREH,PREFAB SA,2.6,"Industrie, Constructii si Materiale",Scade/Stagnează,10.1%
UAM,UAMT S.A.,0.388,"Industrie, Constructii si Materiale",Scade/Stagnează,5.0%
ELJ,ELECTROAPARATAJ S.A.,0.182,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
MECF,MECANICA CEAHLAU,0.108,"Industrie, Constructii si Materiale",Scade/Stagnează,0.4%
CMP,COMPA S. A.,0.558,"Industrie, Constructii si Materiale",Crește,63.1%
MCAB,ROMCAB SA,0.032,"Industrie, Constructii si Materiale",Scade/Stagnează,46.5%
CMF,COMELF S.A.,4.26,"Industrie, Constructii si Materiale",Scade/Stagnează,13.5%
COMI,CONDMAG S.A.,0.015,"Industrie, Constructii si Materiale",Scade/Stagnează,40.4%
ELGS,AETA S.A.,0.256,"Industrie, Constructii si Materiale",Scade/Stagnează,37.8%
PPL,PROMATERIS S.A.,6.45,"Industrie, Constructii si Materiale",Scade/Stagnează,6.3%
PREB,PREBET SA AIUD,2.09,"Industrie, Constructii si Materiale",Scade/Stagnează,12.5%
ARTE,ARTEGO SA,12.0,"Industrie, Constructii si Materiale",Scade/Stagnează,3.7%
NAPO,SOCIETATEA DE CONSTRUCTII NAPOCA SA,2.3,"Industrie, Constructii si Materiale",Scade/Stagnează,35.8%
GREEN,GREEN TECH INTERNATIONAL S.A.,14.86,"Industrie, Constructii si Materiale",Scade/Stagnează,14.9%
CMCM,COMCM SA CONSTANTA,0.317,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
ARM,ARMATURA S.A.,0.125,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
CNTE,CONTED SA,41.6,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
VESY,VES SA,0.0505,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
UZT,UZTEL S.A.,1.26,"Industrie, Constructii si Materiale",Scade/Stagnează,0.0%
