Simbol,Societate,Pret,Categorie,Predictie_ziua_urmatoare,Probabilitate_Creste
TLV,BANCA TRANSILVANIA S.A.,28.2,Sector Financiar si Investitii,Crește,71.1%
DIGI,Digi Communications N.V.,90.2,Sector Financiar si Investitii,Scade/Stagnează,21.6%
FP,FONDUL PROPRIETATEA,0.445,Sector Financiar si Investitii,Scade/Stagnează,47.6%
EVER,EVERGENT INVESTMENTS S.A.,1.995,Sector Financiar si Investitii,Scade/Stagnează,12.5%
BRD,BRD - GROUPE SOCIETE GENERALE S.A.,19.9,Sector Financiar si Investitii,Scade/Stagnează,32.4%
BVB,BURSA DE VALORI BUCURESTI SA,40.0,Sector Financiar si Investitii,Scade/Stagnează,18.1%
INFINITY,INFINITY CAPITAL INVESTMENTS S.A.,3.03,Sector Financiar si Investitii,Scade/Stagnează,2.9%
LION,LION CAPITAL S.A.,3.15,Sector Financiar si Investitii,Scade/Stagnează,33.8%
PBK,PATRIA BANK S.A.,0.103,Sector Financiar si Investitii,Scade/Stagnează,7.5%
LONG,LONGSHIELD INVESTMENT GROUP S.A.,1.72,Sector Financiar si Investitii,Crește,59.7%
TRANSI,TRANSILVANIA INVESTMENTS ALLIANCE S.A.,0.472,Sector Financiar si Investitii,Scade/Stagnează,45.1%
BRK,SSIF BRK FINANCIAL GROUP SA,0.0798,Sector Financiar si Investitii,Scade/Stagnează,8.7%
EBS,Erste Group Bank AG,418.4,Sector Financiar si Investitii,Scade/Stagnează,35.2%
TBK,TRANSILVANIA BROKER DE ASIGURARE SA,14.65,Sector Financiar si Investitii,Scade/Stagnează,1.7%
